Description,In / Out of Target Quadrant,In / Out of Top startups by growth Dynamic set,Industry,Name,Year Founded,2015 Expenses,2015 Growth %,2015 Revenue
"Offers a realtime call marketplace, a cloud-based call center platform and other Web-to-phone applications for businesses of all sizes.",In,Out,Business Products & Services,Haggardfink,2011,3454626.65,554.00%,9044669.15
"Develops and manages in-house OB/GYN hospital programs with the aim of improving patient outcomes, relieving and supporting medical staff and promoting clinical excellence.",In,Out,Health,Prunewatchful,2011,1880427.64,413.00%,8369263.1
"Provides managed voice and data services, delivering ubiquitous access to cloud-based voice, security and computing applications.",In,Out,Telecommunications,Myceliumamniote,2010,1829190.28,161.00%,12851855.76
Provides environmentally-friendly recycling services for a wide spectrum of materials at retail and commercial locations.,In,Out,Environmental Services,Feavar,2011,4551816.4,389.00%,9731617.57
"Designs and builds customized, state-of-the-art, energy efficient homes.",In,Out,Real Estate,Splintstea,2014,2121491,416.00%,9548810
A multichannel retailer that operates brick and mortar stores and two websites that sell bathroom fixtures and components. It also sells its Fresca line of bathroom fixtures wholesale to big box retailers such as Home Depot and Lowes.,Out,Out,Retail,Stovepuck,2013,5904501.9,447.00%,11814974.82
Provides full service IT consulting services designed to allow businesses to outsource all of their IT needs.,In,Out,IT Services,Pickyfive,2011,4458447.47,227.00%,9826722.82
"A full-service staffing and recruiting company with with specialties in staffing, professional, technical and search services.",Out,Out,Human Resources,Lardfaceimproper,2011,6966310.67,519.00%,4095195.25
"Develops innovative Web-based staffing services for the healthcare industry. Its network provides physicians, HR professionals and healthcare recruiters with staffing tools to help them find highly qualified personnel.",Out,Out,Health,Rattlemurrelet,2013,6186394.38,505.00%,7496334.01
"Manages and invests in apartment complexes, which it renovates and stabilizes before flipping or renting to tenants.",In,Out,Real Estate,Mountinggregarious,2010,429829.73,509.00%,10042479.24
"Designs and delivers bouquets, flowers, live plants and gifts. Wesley Berry Flowers operates brick and mortar stores and an Internet portal that connects customers with international florists.",In,Out,Retail,Scalptowhee,2011,1830110.38,308.00%,5503230.4
"A free daily email publication that delivers stories about dining out, cooking at home or recommendations for cocktails, wines and chefs so readers can try new places to eat and drink out.",In,Out,Food & Beverage,Todaypatches,2010,3073595.57,392.00%,10397766.89
"An online news show covering politics, pop culture and lifestyle. It is a top 50 Youtube partner that has more than 35 million views a month and more than 1 billion total views on its Youtube channel.",In,In,Media,Aminoshag,2009,3939168.94,559.00%,5702051.22
"A buying network that has expanded from providing services to medical spas to catering to the entire aesthetic industry, including plastic surgeons, dermatologists and non-core aesthetic physicians.",In,Out,Health,Flexthirsty,2011,3767851.71,432.00%,6981025.96
A janitorial and staffing services company dedicated to the hospitality industry on the east coast of the United States.,In,Out,Business Products & Services,Oystergarrulous,2008,3487397.82,266.00%,9134075.57
"Helps federal government agencies operate more efficiently and effectively by providing personnel to support them in acquisition and contracting, finance and budget, and administrative and clerical roles.",In,Out,Government Services,Befriendogle,2009,1758424.97,185.00%,13003636.5
"Offers public relations consulting services to technology companies, including consulting on cloud infrastructure and consumer apps.",In,Out,Advertising & Marketing,Smugready,2011,1310857.22,428.00%,9830236.59
A window and door manufacturer that uses innovative designs such as insulated glass or full-wall door systems to offer customers thousands of product choices.,In,Out,Manufacturing,Sidedmisty,2013,3318166.64,389.00%,5718760.25
"Manages records and documents and reduces document retention risks for clients in government, health and financial services. Its services include both storage and destruction of documents, electronic media and vital records.",In,Out,Business Products & Services,Magnesiumrocked,2011,2385899.73,488.00%,10530776.62
Specializes in creating user-centered digital experiences from mobile apps to websites.,Out,Out,IT Services,Stupidarboreal,2002,5130873.55,413.00%,11435361.93
"Reports on newsworthy events of interest to Americans, from political reports to celebrity news and local events. News articles focus on issues of faith and freedom with a Republican outlook.",In,Out,Media,Osmiumcrockery,2012,443493.34,194.00%,8574592.78
"Provides healthful, affordable, fresh meals to students. The meals and snacks contain whole grains and fresh fruits and vegetables, and never have high-fructose corn syrup or anything fried or artificial.",Out,Out,Food & Beverage,Schnitzelfields,2014,5916942.36,536.00%,9984254.88
An IT/Software development and consulting company.,In,Out,IT Services,Bignumadept,2012,4068629.7,481.00%,7861100.96
Operates banks and mortgage offices throughout the U.S.,Out,Out,Financial Services,Shapelessunits,2013,5238627.36,361.00%,7686484.41
"Provides recruitment, staffing and technical support to clients in the financial and telecom industries.",Out,Out,IT Services,Samsungclimbing,2010,5575607.53,395.00%,10239914.83
"Provides enterprise resource planning integration services to the federal government, including strategy definition and planning through implementation, integration, operations, maintenance and optimization of federal administrative systems.",In,Out,IT Services,Kickminstrel,2006,3100573.41,295.00%,9479115.94
"Offers short-term loans, check cashing services, wire transfer, bill payment and unlimited free money orders to its customers.",In,Out,Financial Services,Cherriesplump,2011,3757806.73,396.00%,9503958.93
Operates a specialty pharmacy through physical locations nationwide as well as through a mail-order facility and a wholesale division.,In,Out,Health,Solsticeaudio,2011,4248731.69,375.00%,10544309.4
"Provides safe engagement-based ad displays for online advertisers such as banners, pop-ups and page-unders.",In,Out,Advertising & Marketing,Skywalkerwhether,2011,1543571.69,374.00%,9375557.4
"Provides corporate real estate and workplace management services, helping clients develop and articulate an enterprise-wide workplace strategy, standardize business practices, increase mobility and align technology services.",In,Out,Business Products & Services,Studyingforty,2011,2720831.5,461.00%,8025209.29
"A medication therapy management services administrator focused on the appropriate use of medications to achieve positive, cost-effective health outcomes. It trains network providers to deliver MTM services at local, chain and independent pharmacies.",In,Out,Health,Ascendermogul,2014,4083093.26,298.00%,11490135.47
"An advertising, marketing and public relations firm focusing on digital marketing for the family living, healthcare and education sectors.",In,Out,Advertising & Marketing,Vapourmammering,2011,3644199.67,364.00%,11999541.9
A real estate agency with six Southern California locations that sells upscale residential properties as well as selling investment property around the globe.,Out,Out,Real Estate,Touchyopposite,2012,5508952.81,420.00%,7875854.65
"A supplier of AM and RF retail security tags, EAS systems and labels and detachers. Industrial Security also offers custom CCTV and EAS system installation for retailers nationwide.",In,Out,Business Products & Services,Turbulentbridle,2013,3544193.95,475.00%,10687896.79
"A real estate investment firm that identifies undervalued or mismanaged commercial, residential and land assets and takes an active role in adding value to maximize returns.",In,Out,Real Estate,Bobcheek,2012,2217638.42,297.00%,11525726.76
Offers a full suite of analytic services for institutional investors and managers for use with both traditional and alternative data.,Out,Out,Financial Services,Cribcaused,2004,5683236.38,531.00%,7020222.78
"Designs high-performance flow processing silicon and software for applications in cyber security, network analytics, software-defined networking and cloud data center server virtualization.",Out,Out,Software,Bushoil,2012,5024686.66,405.00%,10139869.78
"Provides telecommunications infrastructure from inside wiring to plants and wireless installations for large building and property management companies, telecommunications carriers, data centers and enterprise customers.",In,Out,Telecommunications,Aldineammonium,2011,2195786.61,291.00%,12263253.18
"A global provider of high-impact national security, intelligence and private sector capital management services that uses international expertise to solve complex organizational, management and operational challenges.",Out,Out,Government Services,Tryfanscaly,2010,6736439.04,517.00%,8456969.63
An IT managed services provider for a variety of business clients.,In,Out,IT Services,Cajoleavoidant,2003,1185898.22,313.00%,10771338.69
Provides IT professionals to Minnesota businesses from start ups to Fortune 500 companies.,Out,Out,IT Services,Cogstrip,2012,6667371.66,436.00%,9705673.26
A full service HR outsorucing service reaching out to medium and small businesses.,In,Out,Human Resources,Needlesbosnian,2012,3144844.67,360.00%,11671478.08
"Provides behavioral, educational and case management services for individuals with complex conditions such as Alzheimer's and autism.",In,Out,Health,Announcesbuck,2013,4390259.57,489.00%,6146640.14
"Provides shared technology infrastructure services and managed IT services to the Cincinnati and surrounding commercial markets. Its services include technical resources in people & process, virtualization technologies and private to public cloud computing integrations.",Out,Out,IT Services,Ericssonsafe,2011,6503652.05,330.00%,4844388.94
A real estate firm that has three offices in Virginia.,In,Out,Real Estate,Geometrycrane,2012,436039.14,415.00%,7273494.56
Designs and distributes business intelligence software for businesses-seeking financial data consolidation and reporting as well as report delivery services.,In,Out,Software,Flakesmingling,2002,2563659.06,470.00%,6047508.82
"Owns and operates a portfolio of shopping sites that offer a wide selection, same day shipping and superior customer service.",Out,Out,Retail,Ahemparticular,2010,4908512.38,394.00%,12367661.07
Sells machinery that manufactures beverage pouches with slider and press-to-close zippers from printed laminated roll stock films.. PPI also offers prefabricated pouches with spout fitments. It holds more than 30 patents in the pouch machine market.,In,Out,Manufacturing,Tubeverest,2010,596967.14,491.00%,8116525.7
"Manufactures architectural metal panel systems and components for the commercial construction industry. It produces up to 15,000SF of green building products weekly.",In,Out,Manufacturing,Liripoopquean,2010,2398306.89,335.00%,6129971.24
"Provides temporary or contract staffing, direct hire and executive search services for emerging growth and Fortune 500 companies within the administrative, human resources and technology sectors.",In,Out,Human Resources,Rawchickenequip,1999,4128305.31,139.00%,5865322.61
"Provides software development, consulting and innovation services that enable organizations to seize market opportunity and work more efficiently.",Out,Out,IT Services,Oraclemend,2012,8701267.09,387.00%,11043820.57
"Provides a broad range of prototyping, manufacturing, production fabricating, coating and assembly services to a variety of markets including agricultural, construction, industrial, power generation and transportation.",In,Out,Manufacturing,Nthracer,2009,1068850.33,427.00%,7748178.57
"Provides mortgage quality control, RMBS class action litigation re-underwriting, and expert witness support services. It has underwritten tens of thousands of mortgage loans, totaling billions of dollars, for defense litigation.",Out,Out,Financial Services,Loosepause,2006,5285445.43,458.00%,10008935.13
"A software consulting company that builds custom apps for clients. Its core capabilities include building applications on mobile, Web and TV platforms using open source software developed in-house.",Out,Out,Software,Teenagean,2012,5388720.66,412.00%,7338571.01
"Provides waste transportation and disposal services such as 24-hour spill response, safety training and creation of environmental products.",In,Out,Environmental Services,Pendulumfriction,2011,2487992.89,357.00%,10190851.2
Provides technology services to government and commercial clients.,Out,Out,IT Services,Dragonnode,2013,5757388.18,483.00%,9649797.18
"A staffing company that provides clinical information assistants (scribes"") to health care organizations as a low-cost way to boost clinical efficiency and profitability while improving patient care.""",In,Out,Health,Australisbetter,2010,3006435.33,380.00%,11078803.86
"A facilities management company performing repair, roll-out and construction services throughout the U.S. and Canada, using more than 10,000 technicians.",In,Out,Construction,Profilecliche,2000,3333103.31,418.00%,9398668
"Optimizes healthcare performance and revenue through a mobile platform used by over 25,000 physicans.",Out,Out,Health,Indonesianheliopause,2013,6649913.75,418.00%,8703595.42
"A low-cost direct mail, printing and graphic design company for small businesses nationwide.",In,Out,Advertising & Marketing,Roastjittery,2013,4505334.53,392.00%,9006368.63
"A software company that provides a full-featured, on-demand call center software product in a SaaS model.",In,Out,Software,Abaftpractised,2012,4306925.84,386.00%,8151016.18
Sells guns and ammunition and provides gunsmithing services from two locations in California.,Out,Out,Retail,Soulfulantigravity,2012,4886199.95,285.00%,10954008.73
"Provides authentic pre-owned luxury goods such as designer handbags, clothing and accessories from top-name designers including Chanel, Louis Vuitton and Gucci.",In,Out,Retail,Toolsavagery,2007,4491305.44,369.00%,8942107.06
"Provides customized training curriculum, new technology implementations and collaborative learning methods in the utility and energy industry.",Out,Out,Energy,Bittenwheat,2012,6363461.03,284.00%,8311363.53
A commercial cleaning company that offeres janitorial services through an expanding network of franchises.,Out,Out,Business Products & Services,Charmdrone,2007,10869101.1,451.00%,7308411.09
"An integrated pharmacy model that offers traditional prescriptions along with customized compounded medications and specialty pharmacy services. It has served over 45,000 patients, including patients with complex medical conditions such as HIV/AIDS, Hepatitis C and infertility.",Out,Out,Health,Magmarejoice,2012,6401348.16,188.00%,5894152.08
"Provides business intelligence consulting services, along with CFO services, enterprise application optimization, IT management and regulatory compliance and risk management.",Out,Out,Business Products & Services,Fermiumdessicants,2009,5018640.62,353.00%,7750699.36
"A mobile application lifecycle management company that produces mobile application development and testing, quality assurance testing and ERP testing services.",In,Out,Software,Dessertsmugger,2013,1774638.07,293.00%,7463326.35
"Offers software and system development, information and data systems maintenance and IT outsourcing to the earth science and aerospace industries.",In,Out,Government Services,Bloodhoundthin,2000,2837398.62,353.00%,13712278.93
Provides full-service IT and business consulting services with a specialization in business intelligence. Customers include ADT Security Services and Cox Communications.,Out,Out,IT Services,Waggerhooves,2009,4879893.11,368.00%,8222254.42
"A WBE-certified leadership consulting firm that focuses on pioneering inventive consulting, workforce planning and talent acquisition services for specialty pharmacies, retail chains and manufacturing clients.",In,Out,Business Products & Services,Ganymedeunique,2011,1662557.74,503.00%,6687379.89
"An accredited and approved ESCO that helps solve energy, water and facility problems for clients in a wide range of industries including municipalities, colleges & universities and healthcare.",In,Out,Energy,Elongationmanagerial,2012,3024480.51,531.00%,10299964.66
"Specializes in commercial landscape management for home owners associations, property owners associations and retirement communities, using a customized horticulture program to maximize irrigation system efficiency.",Out,Out,Environmental Services,Lotwee,2012,6371665.1,430.00%,8131490.71
"Provides complete civil construction services, including abatement and remediation, sports fields and vertical construction.",Out,Out,Construction,Miaowgrinder,2000,5036678.99,433.00%,7697469.18
"A business advisory center specializing in network convergence, VoIP telephony and virtualization.",Out,Out,IT Services,Fablescraper,2009,5424688.48,252.00%,9515666.04
Supplies a wide range of customized financial documents and accessories through an e-commerce site.,In,Out,Financial Services,Lardassare,2012,487246.4,411.00%,8758325.58
"Provides yield management services for subscriber-based businesses. It receives data from clients weekly and responds to it by providing recommended pricing and other actions, using A/B testing to validate that results are consistent with prediction.",In,Out,Business Products & Services,Numericpigeon,2004,3090940.49,320.00%,11494179.7
"Develops customized cleaning plans tailored to individual business needs, including scheduling needs and special cleaning needs.",Out,Out,Business Products & Services,Createblender,2011,5819265.05,434.00%,9723829.31
"A speech-language pathology center that provides educators, parents/caregivers and other professionals with therapeutic services for preschool and school-age children.",Out,Out,Education,Beltssneering,2005,6617272.78,386.00%,8798280.5
"Provides moving and storage services for families, businesses and military relocations. Anchor also works with hospitals and educational institutions to install and decommission new and old furniture.",Out,Out,Logistics & Transportation,Karatedistance,2014,5221833.46,357.00%,8445834.38
Provides physical and facility security services to the federal government. It currently protects the assets and employees of numerous federal complexes and high-visibility locations across the country.,In,Out,Government Services,Footshy,2012,944661.06,318.00%,5275078.27
"Engineers and installs Wi-Fi, data and video/TV networks and provides related support services.",In,Out,IT Services,Bonfirefailing,2011,3396475.95,398.00%,12399629.66
"Provides equipment financing for small to medium-sized businesses, especially for transportation equipment such as trucks and trailers.",Out,Out,Financial Services,Openstrustee,2011,7344982.4,450.00%,11666249.47
An executive search firm that provides executive search services worldwide to a variety of industries.,In,Out,Human Resources,Bevvyvanadium,2011,682467.98,443.00%,7168272.49
"Provides IT services, including network engineering, business & technology management consulting, help desk support, application development and hosted cloud services.",In,Out,IT Services,Launchbiggest,2014,3850630.91,389.00%,9169187.31
"Develops all-in-one sales and marketing software used by small businesses to convert more leads, increase sales and save time.",In,Out,Software,Scornsomalian,2013,2052276.42,294.00%,8766713.99
"Provides custom, expedited freight services for time-sensitive delivery of high-security and perishable products. Offers warehousing, distribution, fulfillment, and temperature-controlled trucking of products such as pharmaceuticals, foods, and flowers and vegetation.",In,Out,Logistics & Transportation,Cyclasesvg,2013,4362686.15,467.00%,7141472.44
"Delivers Web-hosting for individuals and businesses, focusing on e-commerce, blogging and content management. It also provides data center colocation services. Nexcess.net owns and operates 2 datacenters in the US with operations throughout Europe and Asia.",Out,Out,Telecommunications,Witchesesteemed,2005,5889203.49,394.00%,8087058.59
A performance-based health management company that provides a platform that ties health behaviors to health insurance premiums to its clients.,Out,Out,Health,Blueshiftcrispy,2009,6823454.86,420.00%,9642188.59
"Provides third-party logistics and supply chain services to manufacturers, retailers and distributors throughout the U.S. and Canada.",Out,Out,Logistics & Transportation,Dishesbitten,2010,1938472.5,335.00%,2631234.78
"A Digital Marketing & IT resourcing provider that delivers access to highly specialized digital marketing and IT professionals in industries such as retail, media & advertising, and financial services.",In,Out,IT Services,Twistedelephant,2011,2814394.06,440.00%,11917212.64
"Provides technology services, including hardware & systems engineering, software development & testing, IT systems support, cyber security, independent testing & evaluation and program support.",In,Out,Business Products & Services,Blouseinsoluble,2010,3018423.97,352.00%,7713376.32
"Provides strategic logisitc management services for hospital, health systems and healthcare networks.",In,Out,Health,Whinchatdates,2012,1097499.25,349.00%,7475092.39
"Provides Oracle Modernization services, specializing in Oracle Fusion Middleware Developer Tools and WebLogic Server.",In,Out,Software,Kidsdoylt,2013,2214088.14,495.00%,9926310.16
"An IT managed services and consulting firm providing services to businesses, specializing in fully-managed IT services and 24/7 support and monitoring of IT infrastructure.",In,Out,IT Services,Annoyinglyarabian,2012,1665920.27,426.00%,9898504.71
"A defense contractor that specializes in aircrew training, simulator maintenance, interactive courseware and software engineering services.",Out,Out,Government Services,Ursastudying,2009,415663.65,308.00%,4637646.96
"Provides individual and family health insurance plans, as well as Medicare Advantage, Medicare Supplement and dental plans.",In,Out,Insurance,Basemuddled,2013,3661646.68,445.00%,8100135.72
Provides hunting and sport shooting equipment to customers through an online auction.,In,Out,Retail,Hostileglove,2012,4299102.42,498.00%,8736304.71
"Provides the process, information and delivery network to move medication from wholesalers to pharmacies to patients.",Out,Out,Logistics & Transportation,Granolabooby,2010,7183551.98,339.00%,6756153.07
Manufactures custom fasteners and distributes a wide array of industrial bolting products primarily for at the energy industries.,In,Out,Manufacturing,Thrushemillwright,2000,1802685.36,462.00%,11215144.74
Provides cloud-based intelligent sales automation software designed for fast-paced sales environments.,Out,Out,Software,Errantplastic,2013,7222599.24,437.00%,5998941.25
"Supports multiple lines of products including high purity components, valves and regulators.",In,Out,Manufacturing,Studycanadian,2009,2337543.9,440.00%,8923309.8
"Provides wellness incentive program consulting and administrative services regarding health insurance to businesses, individuals and health insurance providers.",In,Out,Health,Ikeamongolian,2012,4505105.24,433.00%,7165221.4
An online retailer specializing in aftermarket pickup truck and SUV accessories.,In,Out,Retail,Handgunheard,2011,3608916.82,339.00%,7223462.65
"Offers IT staffing and per-project employees to help mid-size companies and major corporations with business process improvement, requirements management and program & project management services.",Out,Out,Business Products & Services,Ibexecheeks,2010,5579893.76,420.00%,9897384.06
"Processes credit card transactions for restaurants, retailers, gas stations, national chains, e-commerce and home-based businesses nationwide.",In,Out,Financial Services,Trapexperts,2011,3214118.89,310.00%,6788469
An entertainment complex that provides competitive golfing games for individuals and groups of all ages and skill levels. Its golf balls contain computer microships that track each shot's accurace and distance and the upscale facilities offer a wide range of food and beverages.,Out,Out,Consumer Products & Services,Muttonmint,2011,6387202.5,390.00%,9974454.43
"A security integration firm that provides video surveillance, access control, intrusion detection, security consulting services, IT security, structured cabling, and employee background screening for banks, hospitals, casinos, local and federal government, churches, schools, and manufacturers.",In,Out,Security,Sternlinguistic,2011,2413537.54,540.00%,8047083.84
"Provides permanent, temporary, and contract staffing services for IT positions.",In,Out,IT Services,Currymercurial,2010,3573280.44,556.00%,11221821.37
An IT provider that offers software application development and systems integration services.,Out,Out,IT Services,Totallyzonked,2013,6688379.06,439.00%,7506218.65
"Provides search engine optimization, search engine marketing and online display advertising to a broad range of clients nationwide, from Global 500 organizations to earlier-stage technology companies.",In,In,Advertising & Marketing,Voleworry,2013,3706678.9,691.00%,11764440.5
"Provides management and technology support services to the military and some commercial organizations. Zenetex's services include IT management, engineering, integrated logistics, program management, training systems and foreign military sales.",In,Out,Government Services,Practisemax,2001,4157735.3,286.00%,9426356.73
"Advises, designs, builds and manages data services, analytics and applications for clients involved in financial services, communications, health care, retail and energy industries.",In,Out,IT Services,Slicerseptum,2014,4510084.45,528.00%,9775285.56
Provides end-to-end service design and deployment for small and mid-sized businesses in Wisconsin.,Out,Out,IT Services,Librationmelba,2010,5883007.69,397.00%,9053058.01
Sells and installs aftermarket performance parts and operates a diesel performance e-commerce site. Alligator Performance's sales personnel are all technicians who drive and modify the same trucks their customers own.,In,In,Retail,Placehospitable,2012,1925320.82,595.00%,12576492.86
"A third party logistics company with a vast network of carriers that arranges transport via truck and train. It arranges transport for more than 4,000 loads per day, including dry, refrigerated and flatbed shipments.",In,Out,Logistics & Transportation,Gelatinmonths,2014,3612740.75,326.00%,7274544.3
"Provides assessment, intervention and education improvement services to K-12 schools. Publishes the SCORE21 assessment builder for teachers.",In,Out,Education,Drunkactually,2014,4294121.07,289.00%,7181920.78
Creates engaging interactive content both in business development and consumer communication.,In,Out,Advertising & Marketing,Subtletymosaic,2013,4515537.82,470.00%,8709591.28
"A franchisor of dozens of retail boutiques across the country that sell women's clothing, accessories and giftware.",Out,Out,Retail,Arabianagena,2013,4887651.64,405.00%,11941632.28
"Offers a wide range of products and services in the hydrocarbon industry including jet pumps, hydraulic rod pumps, triplex pumps, separators, equipment packaging and pump maintenance.",In,Out,Energy,Costvicious,2011,3752596.38,387.00%,9614064.19
An outdoor and adventure retailer that sells a wide selection of collectible and specialty knives online as well as self-defense products such as pepper spray and Tasers.,In,Out,Retail,Admitruppell,2010,1511585.86,338.00%,9375526.36
"An engineering firm specializing in OSHA compliance and the control of hazardous energy. ESC enables compliance for confined space, arc flash and machine guarding, as well as preventive maintenance and pipe marking.",In,Out,Engineering,Nerfheardercanapes,2013,3139637.09,307.00%,8914162.47
Offers website design and Internet marketing for law firms and attorneys.,Out,Out,Advertising & Marketing,Theirordered,2013,5987803.74,444.00%,9525187.4
"Specializes in IT staffing for small, mid-size and large clients all over the US with a focus in the Virginia area. Services include contract, contract-to-hire and direct hire for the legal, technology and insurance industries.",In,Out,IT Services,Lucrepickled,2004,3512394.78,507.00%,7894933.2
"Facilitates international e-commerce transactions by providing mail and package forwarding and multiple-purchase consolidation services for more than 3,500 businesses globally.",In,Out,Logistics & Transportation,Shadefronted,2013,1381925.27,537.00%,12242397.44
Provides attorneys and insurance companies in the Midwest with efficient record procurement services.,In,In,Business Products & Services,Factsworldcup,2007,1709799.96,626.00%,8830547.47
Provides technical SAP consulting and cost-effective application management services to mid-market companies as well as major corporations.,In,Out,IT Services,Marchedsausage,2010,3370435.05,435.00%,9620120.61
"An IT Services company focusing on open source application development and big data analytics services. Services include advanced programming, mobile application and computing services.",In,Out,IT Services,Glandminer,2011,2501327.38,538.00%,8065626.31
"A digital marketing service for the automotive niche, including dealerships and OEMs.",In,Out,Advertising & Marketing,Queryinghovers,2012,2745473.88,452.00%,13121871.73
"Residential roofing contractor that installs roofing systems, specializing in tile roofs, flat roofs and metal roofs for local and national home builders, and roof replacements and roof repairs on existing homes.",Out,Out,Construction,Tausnash,2009,4727267.12,260.00%,6554612.19
"Provides beef from 100% grass-fed cows to retail grocers, mass merchants and restaurants.",Out,Out,Food & Beverage,Crushingguatemalan,2011,4821152.04,417.00%,6834182.61
"An IT recruiting and consulting services company that provides niche skill recruiting, strategic and project-based staffing, contract-to-hire and direct hire opportunities.",Out,Out,IT Services,Enterwaist,2010,5159201.66,268.00%,6858281.87
"A global supply chain management company that offers a number of international supply services such as warehouse space, shipping partners and customs document support.",Out,In,Business Products & Services,Goblaces,2013,5974066.33,647.00%,7624262.75
"Specializes in providing refurbished communications network infrastructure equipment for customers selling, buying or trading wireless or wired networking hardware.",In,Out,Telecommunications,Cutranked,2010,3968735.44,234.00%,7371888.4
"A digital media agency offering a dynamic array of services such as digital and mobile lead generation, education-specific lead generation and social influence marketing.",Out,Out,Media,Wingfluther,2011,7617622.94,450.00%,11486747.15
"Provides cybercrime protection and intelligence services that reduce the risk of phishing, malware and other cyber attacks. It offers a fixed-price subscription model and partners with businesses to decrease attacks, reduce online fraud and prevent the loss of customer trust.",In,Out,Security,Formulasfunnels,2006,4491556.14,496.00%,7622169.7
"Specializes in training and simulation, with an emphasis on visual engineering training for the military.",In,Out,Government Services,Crunchabout,2010,2895975.12,452.00%,5577372.64
"A commercial, residential and public underground utility company that has been run by three generations of the same family since its founding. It provides water, sewer and storm utilities for projects such as new residential developments, public utility installations and larg- site utility construction.",Out,Out,Construction,Grippingstirring,2012,4890906.39,543.00%,4419276.71
A design and development firm that helps entrepreneurs launch Web and mobile products.,Out,Out,Software,Congolesegossip,2000,6914338.67,231.00%,8394129.55
A critical asset protection service that provides an information portfolio and network security services to businesses.,Out,Out,Security,Onlytilted,2005,5342939.41,513.00%,13628925.54
Provides analytics-based online marketing services to the retail automotive industry using its own platform.,Out,Out,Advertising & Marketing,Graphicchlorine,2003,6103413.29,351.00%,8510889.23
"Offers intelligence and operations support, linguistic and analytical services to the US Government.",In,Out,Government Services,Scullianpinwheel,2011,3623068.69,386.00%,15188112.88
"Leases point of sale, ATM, and point of service systems to vendors.",Out,Out,Business Products & Services,Cranegreatest,2011,9198206.33,358.00%,7127741.83
A third-party logistics company specializing in matching empty import containers with compatible export loads at selected ports.,Out,Out,Logistics & Transportation,Skillscurve,2010,5931251.38,356.00%,10163562.18
Develops next-generation financial products for under-served consumers using a technology and analytics platform to bridge the gap between payday loans and credit cards.,Out,Out,Financial Services,Measuresflipping,2009,7832472.66,454.00%,9730456.79
"Provides consulting and engineering services for the design of all HVAC, electrical, plumbing, sprinkler and life safety systems for commercial, industrial, retail, institutional, health care and residential facilities.",Out,Out,Engineering,Greaseperform,2013,4985636.17,306.00%,10763212.15
"A biotechnology company that uses proprietary technology to stabilize and protect biological materials at room temperature without degradation. Its products are used by researchers in academia, pharmaceutical drug development and molecular diagnostics.",Out,Out,Health,Ridglingshod,2011,6165132.77,264.00%,8293498.18
"Develops, distributes and markets nutrition bars and other functional foods. Perfect Bar's signature product is its refrigerated nutrition bar which was the first of its kind in 2005.",In,Out,Food & Beverage,Initialhorseman,2013,1927956.98,383.00%,5673114.51
"Develops and operates coordinated programs that guide patients through the health care process, lowering medical costs without shifting them to employees.",Out,Out,Health,Linkedallianz,2011,8606412.32,149.00%,6300572.16
"A specialty pharmaceutical consulting firm that offers clinical pharmacology, PK and populating PK consulting services to pharmaceutical and biotechnology companies.",In,Out,Health,Sculptorjelly,2006,3868631.06,347.00%,10875181.28
"An Oracle Platinum Partner that focuses on implementing niche services such as Oracle EBS, Hyperion and fusion middleware.",In,Out,IT Services,Surroundoutrageous,2012,2324621.68,394.00%,11580397.81
"Offers community bars that feature patios and American food. It recently expanded into Virginia to offer TRIO Grill, an American chophouse featuring a patio, outdoor cigar bar and piano bar.",In,Out,Food & Beverage,Hallsshotgun,2010,442275.44,243.00%,6874728.25
"A Tier-One OEM supplier in the power sports industry, supplying thermoformed plastic parts for vehicles such as ATVs, motorcycles and snowmobiles. Core products include cab enclosures and components for UTVs.",In,Out,Manufacturing,Pricklemisfits,2010,3760581.13,496.00%,8987880.55
"A residential construction and remodeling firm that provides customer building, remodeling and community restorations in middle Tennessee.",In,Out,Construction,Testingear,2012,4539151.33,415.00%,10651147.84
"An IT services company that provides placements, consulting and project management. It serves the BFSI, healthcare, hospitality, manufacturing, retail, technology, telecom, utilities, transportation and aerospace industries.",In,Out,IT Services,Riddledinfant,2010,4054152.77,435.00%,8368302.11
"Provides professional and technical services in engineering design & analysis, reliability engineering & analysis, information technology, logistics, process improvement and program management.",In,Out,Engineering,Motorearth,2005,4218905.5,483.00%,9751833.05
"Designs and develops suites of custom mobile apps to support businesses in the logistics, manufacturing and financial sectors.",In,Out,Software,Supernovafishing,2012,2125780.18,432.00%,6092673.79
Builds Web-based services for connecting hospitals and health plans to patients and physicians.,Out,Out,Health,Detritaldartford,2012,6319832.79,488.00%,8873078.28
"A software/hardware engineering service, connected device and outsourcing company helping business clients achieve high-level performance at low cost and reducing their time to market.",In,Out,Software,Statuesquelook,2001,1551580.18,258.00%,6842693.9
"Delivers technology services to businesses ranging from small businesses to Fortune 1000 companies. Services include IT support outsourcing, data back-up and iPhone/Blackberry smart phone integration.",In,Out,IT Services,Appliesoverrated,2013,3726978.97,418.00%,12506421.46
Helps government and corporations comply with the Americans with Disabilities Act. Assists clients in creating inclusion programs that help them hire and retain people with varying disabilities. Also provides high-quality remote and in-person American Sign Language Interpreting services and transcription services.,Out,Out,Government Services,Bumhercules,2010,6910968.3,344.00%,6426676.18
Specializes in designing and developing custom mobile applications for start-ups as well as established businesses.,In,Out,Software,Cabinetswainson,2012,2611767.71,504.00%,8939613.06
